author,display,text,timestamp,likes,reposts,replies,mentions,is_reply,query,election,candidate,date
patrickverbiest.bsky.social,Patrick Verbiest,"I'll repeat this, because it is so important: To all Americans, know your voting rights! Quote: ""If the polls close while you’re still in line, stay in line – you have the right to vote."" #Election2024 #VoteBlue #VoteKamala #ElectionDay #VoteHarris

Link: www.aclu.org/know-your-ri...",2024-11-05T23:59:50.856Z,0,0,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
miqokin.etheirys.social,julian 🐈💕🐇,"We did our civic duty and so should you! 🫵🇺🇸🦅

#ffxiv | #ff14 | #gpose | #gposers | #USelection2024 | #election2024 | #vote | #vote2024 | #viera | #miqo'te | #miqote | #micro | #vore (implied)",2024-11-05T23:59:31.620Z,3,1,1,[],False,#Election2024,US_2024,Neutral,2024-11-05
jasonluthor.com,🎅 Santa Luthor 🎅,"Election News:

Georgia polls close in two minutes!

#Election2024",2024-11-05T23:58:15.116Z,3,1,0,[],False,#Election2024,US_2024,Neutral,2024-11-05
feebee69.bsky.social,Fi,Hoping I wake up to good news. #Election2024 #KamalaHarris #FuckTrump   youtu.be/PzHLPnGuVSQ?...,2024-11-05T23:57:56.199Z,1,1,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
evansutton.bsky.social,Evan Sutton,"If you need some emotional fuel to keep you running across the goal line, let the pathetic desperation in these tweets carry you the last few yards my friends #GOTV #vote    #Election2024    #Harris",2024-11-05T23:56:33.365Z,2,0,0,[],True,#Election2024,US_2024,CandidateB,2024-11-05
drmccoy.info,Dr. McCoy 😷,"#presidential #election2024 #election #USA #Präsidentschaftswahl

Wer quasi live die aktuellen Auszählungen mit Vergleich zur Wahl 2020 ersehen möchte, findet hier eine interaktive Karte:

➡️ www.washingtonpost.com/elections/in...

Bisher sehen Tendenzen gut aus für Kamala Harris.",2024-11-05T23:56:01.028Z,9,2,1,[],False,#Election2024,US_2024,CandidateB,2024-11-05
thekbr0.bsky.social,TheKBr0,I voted on one issue and one issue only! TheLilBr0! There’s only one answer right now for her to have a better future and that is keeping Don out of the White House and putting #harriswalz2024 in there! @kamalaharrisbsky.bsky.social #election #election2024,2024-11-05T23:53:28.730Z,0,0,0,['kamalaharrisbsky.bsky.social'],False,#Election2024,US_2024,CandidateB,2024-11-05
astrolich.bsky.social,𝖆𝖘𝖙𝖗𝖔𝖑𝖎𝖈𝖍,"Trumpers when they see the first sign of red
#election2024",2024-11-05T23:52:56.259Z,1,0,0,[],False,#Election2024,US_2024,CandidateA,2024-11-05
thekbr0.bsky.social,TheKBr0,I voted on one issue and one issue only! TheLilBr0! There’s only one answer right now for her to have a better future and that is keeping Don out of the White House and putting #harriswalz2024 in there! @kamalahqrepeater.bsky.social  #election #election2024,2024-11-05T23:52:50.389Z,0,0,0,['kamalahqrepeater.bsky.social'],False,#Election2024,US_2024,CandidateB,2024-11-05
antifapatriot.bsky.social,america.is.not.free,"Hoping for some awesome news 💯🍿🍿🍿

#harriswalz2024 #democrats #election2024 #democracyontheballot #bluewave #saveamerica #fightfascism #Kamala47",2024-11-05T23:52:27.154Z,3,0,0,[],False,#Election2024,US_2024,CandidateB,2024-11-05
