author,display,text,timestamp,likes,reposts,replies,mentions,is_reply,query,candidate
dangrsmind.sfba.social.ap.brid.gy,dangrsmind,https://www.theguardian.com/us-news/2024/nov/05/far-right-election-trump-harris,2024-11-05T23:58:38.000Z,0,0,0,[],False,Trump election 2024,Neutral
zacheverson.com,Zach Everson,"New: ""Even On Election Day, Trump Is Hawking His Merch""

me, for @Forbes 

https://www.forbes.com/sites/zacheverson/2024/11/05/even-on-election-day-trump-is-hawking-his-merch/",2024-11-05T23:58:33Z,0,0,0,['Forbes'],False,Trump election 2024,Trump
news-feed.bsky.social,News Feed,"@France24_en: 🇺🇸 🗳️ 🛑 #Immigration has been a key tenet of the 2024 #US election campaign, with Donald #Trump stoking fears on the issue and using it to his advantage.

#Republicans question rival Kamala #Harris's ability to handle the issue, based on the #Biden administration's record ⤵️ https:",2024-11-05T23:51:34.814Z,0,0,0,['France24_en'],False,Trump election 2024,Trump
lainluna.bsky.social,Lain Luna,"The 2024 election in a nutshell most of us are sick of Trump.
youtu.be/SEAI2dz-Kqo?...",2024-11-05T23:48:08.733Z,0,0,0,[],False,Trump election 2024,Trump
mm-hacker-news.bsky.social,Hacker News,"Musk to spend election night with Trump
https://www.nytimes.com/2024/11/05/us/politics/elon-musk-trump-election-night.html",2024-11-05T23:35:20.418Z,0,0,0,[],False,Trump election 2024,Trump
djmaryaleescarlet.bsky.social,DJ Maryalee Scarlet,,2024-11-05T23:34:37.008Z,2,1,0,[],False,Trump election 2024,Neutral
zlcai.bsky.social,Gerald Cai ✝️🏡⚕️⚖️🌏🌠🎶📚📸,"Trump- and Musk-fueled falsehoods and threats backdrop US election.
www.theguardian.com/us-news/2024...",2024-11-05T23:34:17.872Z,0,0,0,[],False,Trump election 2024,Trump
newjukeboxcafe.bsky.social,NewJukeboxCafe 🇨🇦,"Live

US election 2024 live: first polls have closed as millions continue to vote in contentious Trump-Harris race
Fears for democracy and state of economy top issues for voters, exit polls suggest

www.theguardian.com/us-news/live...",2024-11-05T23:33:19.649Z,3,0,0,[],False,Trump election 2024,Neutral
dailymail.co.uk,Daily Mail ,"
Trump claims there's been 'massive cheating' in the 2024 election in Philadelphia and Detroit www.dailymail.co.uk/news/article...",2024-11-05T23:31:31.686Z,0,0,0,[],False,Trump election 2024,Trump
dailymail.co.uk,Daily Mail ,US election 2024 results in full: Live maps reveal where Trump and Harris stand in every state www.dailymail.co.uk/news/article...,2024-11-05T23:28:50.392Z,0,0,0,[],False,Trump election 2024,Neutral
trump.activitypub.awakari.com.ap.brid.gy,Trump,"Most US voters believe democracy is in danger Most US voters believe democracy is in dangerTue 5 ...

https://www.abc.net.au/news/2024-11-06/us-presidential-election-live-updates-kamala-harris-donald-trump/104546228

Event Attributes",2024-11-05T23:28:39.000Z,0,0,0,[],False,Trump election 2024,Neutral
trump.activitypub.awakari.com.ap.brid.gy,Trump,"Allegations of election fraud debunked Allegations of election fraud debunkedTue 5 NovTue 5 NovTu...

https://www.abc.net.au/news/2024-11-06/us-presidential-election-live-updates-kamala-harris-donald-trump/104546228

Event Attributes",2024-11-05T23:19:42.000Z,0,0,0,[],False,Trump election 2024,Neutral
news-feed.bsky.social,News Feed,"@Independent: Trump vs Harris: Live election 2024 results map
",2024-11-05T23:17:56.055Z,0,0,0,['Independent'],False,Trump election 2024,Neutral
dailymail.co.uk,Daily Mail ,Who is Chase Oliver? The presidential candidate that could cost Trump or Harris the 2024 election www.dailymail.co.uk/news/article...,2024-11-05T23:16:48.753Z,1,1,0,[],False,Trump election 2024,Neutral
cna-poster.bsky.social,CNA - Channel News Asia (Unofficial),Watch live: US presidential election 2024 - https://www.channelnewsasia.com/world/us-election-2024-watch-live-kamala-harris-donald-trump-president-4721831,2024-11-05T23:08:45.641Z,0,0,0,[],False,Trump election 2024,Neutral
trump.activitypub.awakari.com.ap.brid.gy,Trump,"Trump and Harris neck-and-neck in crucial exit polls Trump and Harris neck-and-neck in crucial ex...

https://www.abc.net.au/news/2024-11-06/us-presidential-election-live-updates-kamala-harris-donald-trump/104546228

Event Attributes",2024-11-05T23:06:35.000Z,0,0,0,[],False,Trump election 2024,Neutral
laurenmeidasa.bsky.social,Lauren Ashley Davis,"Former President Trump told reporters after casting his ballot that he's not sure whether he'll declare victory on election night, as he did in 2020, and acknowledged the possibility he could lose.

www.axios.com/2024/11/05/t...",2024-11-05T23:02:59.054Z,3,0,1,[],False,Trump election 2024,Trump
trump.activitypub.awakari.com.ap.brid.gy,Trump,"The first polls have closed! The first polls have closed!Tue 5 NovTue 5 NovTue 5 Nov 2024 at 11:01pm

https://www.abc.net.au/news/2024-11-06/us-presidential-election-live-updates-kamala-harris-donald-trump/104546228

Event Attributes",2024-11-05T23:01:54.000Z,0,0,0,[],False,Trump election 2024,Neutral
majorlinux.com,"Marcus ""MajorLinux"" Summers","People on Twitter, including its CEO, are goofy as fuck!

This Google election conspiracy theory doesn’t add up 

https://www.theverge.com/2024/11/5/24289025/google-election-conspiracy-theory-harris-trump-where-can-i-vote-for-elon-musk

#Google #Election #US #Conspiracy #Twitter #SocialMedia #Tech",2024-11-05T23:00:01.699Z,0,0,0,[],False,Trump election 2024,Neutral
monkeyflower.infosec.exchange.ap.brid.gy,🦋 Ben West -  🐒🌻,"Heads up we might not know the outcomes of the US election tonight if its close. Pace yourselves...

#election #election2024 #uspol #uspolitics #trump #kamalaHarris #make_it_stop",2024-11-05T22:51:53.000Z,0,0,0,[],False,Trump election 2024,Harris
laurenmeidasa.bsky.social,Lauren Ashley Davis,"Trump Media loses $19.2 million in third quarter, surprise Election Day filing reveals

The filing was not telegraphed to investors beforehand and came as a surprise to traders not expecting it on Election Day

www.cnbc.com/2024/11/05/t...",2024-11-05T22:51:35.766Z,12,3,1,[],False,Trump election 2024,Trump
trump.activitypub.awakari.com.ap.brid.gy,Trump,"What early exit polls say as election day draws close What early exit polls say as election day d...

https://www.abc.net.au/news/2024-11-06/us-presidential-election-live-updates-kamala-harris-donald-trump/104546228

Event Attributes",2024-11-05T22:50:22.000Z,0,0,0,[],False,Trump election 2024,Neutral
